Aamericanus_v1.1	Acorus americanus
Acoerulea_v3.1	Aquilegia coerulea
Acomosus_v3	Ananas comosus
Ahalleri_v1.1	Arabidopsis halleri
Ahypochondriacus_v2.1	Amaranthus hypochondriacus
Ahypogaea_v1.0	Arachis hypogaea
Alinifolium_v1.1	Alyssum linifolium
Alyrata_v2.1	Arabidopsis lyrata
Aoccidentale_v0.9	Anacardium occidentale
Aofficinalis_V1.1	Asparagus officinalis
Athaliana_Araport11	Arabidopsis thaliana
Athaliana_TAIR10	Arabidopsis thaliana
Atrichopoda_v1.0	Amborella trichopoda
Bbraunii_v2.1	Botryococcus braunii
BdistachyonABR2_v1	Brachypodium distachyon ABR2
BdistachyonABR3_v1	Brachypodium distachyon ABR3
BdistachyonABR4_v1	Brachypodium distachyon ABR4
BdistachyonABR5_v1	Brachypodium distachyon ABR5
BdistachyonABR6_v1	Brachypodium distachyon ABR6
BdistachyonABR7_v1	Brachypodium distachyon ABR7
BdistachyonABR8_v1	Brachypodium distachyon ABR8
BdistachyonABR9_v1	Brachypodium distachyon ABR9
BdistachyonAdi-10_v1	Brachypodium distachyon Adi-10
BdistachyonAdi-12_v1	Brachypodium distachyon Adi-12
BdistachyonAdi-2_v1	Brachypodium distachyon Adi-2
BdistachyonArn1_v1	Brachypodium distachyon Arn1
BdistachyonBd1-1_v1	Brachypodium distachyon Bd1-1
BdistachyonBd1-1_v1.1	Brachypodium distachyon Bd1-1
BdistachyonBd18-1_v1	Brachypodium distachyon Bd18-1
BdistachyonBd2-3_v1	Brachypodium distachyon Bd2-3
BdistachyonBd21-3_v1	Brachypodium distachyon Bd21-3
BdistachyonBd21-3_v1.1	Brachypodium distachyon Bd21-3
BdistachyonBd21-3_v1.2	Brachypodium distachyon Bd21-3
BdistachyonBd21AnntCtrl_v1	Brachypodium distachyon Bd21 AnntCtrl
BdistachyonBd21AsmbCtrl_v1	Brachypodium distachyon Bd21 AsmbCtrl
BdistachyonBd29-1_v1	Brachypodium distachyon Bd29-1
BdistachyonBd3-1_v1	Brachypodium distachyon Bd3-1
BdistachyonBd30-1_v1	Brachypodium distachyon Bd30-1
BdistachyonBd30-1_v1.1	Brachypodium distachyon Bd30-1
BdistachyonBdTR10c_v1	Brachypodium distachyon BdTR10c
BdistachyonBdTR11a_v1	Brachypodium distachyon BdTR11a
BdistachyonBdTR11g_v1	Brachypodium distachyon BdTR11g
BdistachyonBdTR11i_v1	Brachypodium distachyon BdTR11i
BdistachyonBdTR12c_v1	Brachypodium distachyon BdTR12c
BdistachyonBdTR13a_v1	Brachypodium distachyon BdTR13a
BdistachyonBdTR13c_v1	Brachypodium distachyon BdTR13c
BdistachyonBdTR1i_v1	Brachypodium distachyon BdTR1i
BdistachyonBdTR2b_v1	Brachypodium distachyon BdTR2b
BdistachyonBdTR2g_v1	Brachypodium distachyon BdTR2g
BdistachyonBdTR3c_v1	Brachypodium distachyon BdTR3c
BdistachyonBdTR5i_v1	Brachypodium distachyon BdTR5i
BdistachyonBdTR7a_v1	Brachypodium distachyon BdTR7a
BdistachyonBdTR8i_v1	Brachypodium distachyon BdTR8i
BdistachyonBdTR9k_v1	Brachypodium distachyon BdTR9k
BdistachyonBis-1_v1	Brachypodium distachyon Bis-1
BdistachyonFoz1_v1	Brachypodium distachyon Foz1
BdistachyonGaz-8_v1	Brachypodium distachyon Gaz-8
BdistachyonJer1_v1	Brachypodium distachyon Jer1
BdistachyonKah-1_v1	Brachypodium distachyon Kah-1
BdistachyonKah-5_v1	Brachypodium distachyon Kah-5
BdistachyonKoz-1_v1	Brachypodium distachyon Koz-1
BdistachyonKoz-3_v1	Brachypodium distachyon Koz-3
BdistachyonLuc1_v1	Brachypodium distachyon Luc1
BdistachyonMig3_v1	Brachypodium distachyon Mig3
BdistachyonMon3_v1	Brachypodium distachyon Mon3
BdistachyonMur1_v1	Brachypodium distachyon Mur1
BdistachyonPangenome_v1	Brachypodium distachyon Pangenome
BdistachyonPer1_v1	Brachypodium distachyon Per1
BdistachyonRon2_v1	Brachypodium distachyon Ron2
BdistachyonS8iic_v1	Brachypodium distachyon S8iic
BdistachyonSig2_v1	Brachypodium distachyon Sig2
BdistachyonTek-2_v1	Brachypodium distachyon Tek-2
BdistachyonTek-4_v1	Brachypodium distachyon Tek-4
BdistachyonUni2_v1	Brachypodium distachyon Uni2
Bdistachyon_v2.1	Brachypodium distachyon
Bdistachyon_v3.1	Brachypodium distachyon
Bdistachyon_v3.2	Brachypodium distachyon
Bhybridum_v1.1	Brachypodium hybridum
Bmexicanum_v1.1	Brachypodium mexicanum
Boleraceacapitata_v1.0	Brassica oleracea capitata
BrapaFPsc_v1.3	Brassica rapa FPsc
Bstacei_v1.1	Brachypodium stacei
