Fragaria x ananassa Royal Royce	3747	701	FxananassaRoyalRoyce	allo-octoploid strawberry	v1.0	UCDAVIS	v1.0	UCDAVIS	restricted	97.4
Vaccinium darrowii	229202	700	Vdarrowii	evergreen blueberry	v1.2	USDA/UTK	v1.2	USDA/UTK	restricted	90.1
Phaseolus vulgaris 5-593	3885	696	Pvulgaris5-593	common bean	v1.0	HA	v1.1	JGI	restricted	96.0
Sorghum bicolor SC187	4558	694	SbicolorSC187	sorghum	v1.0	JGI	v1.1	JGI	restricted	99.4
Brachypodium hybridum Bhyb26	1071398	693	BhybridumBhyb26		v2.0	JGI	v2.1	JGI	restricted	99.7
Portulaca amilis	996330	692	Pamilis	Paraguayan purslane	v1.0	Yale	v1.0	Yale	restricted	89.0
Solanum lycopersicum	4081	691	Slycopersicum	tomato	SL4.0	SGN	ITAG4.0	ITAG	unrestricted	93.6
Chasmanthium laxum	40583	690	Claxum	Slender wood oats	v1.0	JGI	v1.1	JGI	restricted	98.1
Lindenbergia philippensis	86093	689	Lphilippensis		v1.0	JGI	v1.1	JGI	restricted	96.7
Populus maximowiczii x nigra NM6	75703	688	PmaximowicziixnigraNM6	hybrid poplar	v1.0	JGI	v1.1	JGI	restricted	98.6
Quercus rubra	3512	687	Qrubra	northern red oak	v2.0	HA	v2.1	JGI	restricted	97.4
Solanum tuberosum	4113	686	Stuberosum	potato	v6.1	MSU	v6.1	MSU	unrestricted	95.1
Zea mays PHJ40	4577	685	ZmaysPHJ40	maize	v1.0	JGI	v1.2	JGI	unrestricted	99.2
Zea mays PHB47	4577	684	ZmaysPHB47	maize	v1.0	JGI	v1.2	JGI	unrestricted	99.0
Zea mays NKH8431	4577	683	ZmaysNKH8431	maize	v1.0	JGI	v1.2	JGI	unrestricted	99.2
Zea mays LH145	4577	682	ZmaysLH145	maize	v1.0	JGI	v1.2	JGI	unrestricted	99.1
Zea mays B84	4577	681	ZmaysB84	maize	v1.0	JGI	v1.2	JGI	unrestricted	99.2
Pharus latifolius	38686	680	Platifolius		v1.0	JGI	v1.1	JGI	restricted	98.4
Betula platyphylla	78630	679	Bplatyphylla	Asian white birch	v1.0	NEFU	v1.1	NEFU	unrestricted	92.4
