Rhodophyta	Porphyra umbilicalis	2786	456	Porphyra umbilicalis	Pumbilicalis	Laver	v1.5	unrestricted	JGI	JGI	62.0
Chlorophyte	Botryococcus braunii	38881	502	Botryococcus braunii	Bbraunii		v2.1	restricted	JGI	JGI	80.5
Chlorophyte	Chlamydomonas reinhardtii	3055	281	Chlamydomonas reinhardtii	Creinhardtii	Green algae	v5.5	unrestricted	JGI	JGI	96.1
Chlorophyte	Chromochloris zofingiensis	31302	461	Chromochloris zofingiensis	Czofingiensis		v5.2.3.2	unrestricted	UCLA	UCLA	84.5
Chlorophyte	Coccomyxa subellipsoidea C-169	574566	227	Coccomyxa subellipsoidea C-169	CsubellipsoideaC_169		v2.0	unrestricted	JGI.FG	JGI.FG	89.2
Chlorophyte	Dunaliella salina	3046	325	Dunaliella salina	Dsalina	Dunaliella	v1.0	restricted	JGI	JGI	77.6
Chlorophyte	Micromonas pusilla CCMP1545	564608	228	Micromonas pusilla CCMP1545	MpusillaCCMP1545		v3.0	unrestricted	JGI.FG	JGI.FG	87.5
Chlorophyte	Micromonas sp. RCC299	296587	229	Micromonas sp. RCC299	MspRCC299		v3.0	unrestricted	JGI.FG	JGI.FG	89.8
Chlorophyte	Ostreococcus lucimarinus	436017	231	Ostreococcus lucimarinus	Olucimarinus		v2.0	unrestricted	JGI.FG	JGI.FG	84.5
Chlorophyte	Volvox carteri	3067	317	Volvox carteri	Vcarteri	Volvox	v2.1	unrestricted	JGI	JGI	94.7
Embryophyte	Marchantia polymorpha	3197	320	Marchantia polymorpha	Mpolymorpha	Common liverwort	v3.1	unrestricted	JGI	JGI	97.6
Embryophyte	Physcomitrella patens	3218	318	Physcomitrella patens	Ppatens	Moss	v3.3	unrestricted	COSMOSS	COSMOSS	98.6
Embryophyte	Sphagnum fallax	53036	310	Sphagnum fallax	Sfallax	Bog moss	v0.5	restricted	JGI	JGI	98.0
Tracheophyte	Selaginella moellendorffii	88036	91	Selaginella moellendorffii	Smoellendorffii	Spikemoss	v1.0	unrestricted	JGI	JGI	95.7
Angiosperm	Amborella trichopoda	13333	291	Amborella trichopoda	Atrichopoda	Amborella	v1.0	unrestricted	AGP	AGP	94.4
Eudicot	Aquilegia coerulea	218851	322	Aquilegia coerulea	Acoerulea	Colorado blue columbine	v3.1	restricted	JGI	JGI	98.7
Pentapetalae	Amaranthus hypochondriacus	28502	459	Amaranthus hypochondriacus	Ahypochondriacus	Amaranth	v2.1	unrestricted	BYU	BYU	91.7
Pentapetalae	Chenopodium quinoa	63459	392	Chenopodium quinoa	Cquinoa	Quinoa	v1.0	unrestricted	KAUST	KAUST	96.0
Pentapetalae	Kalanchoe fedtschenkoi	63787	382	Kalanchoe fedtschenkoi	Kfedtschenkoi	diploid Kalanchoe	v1.1	restricted	JGI	JGI	96.7
Pentapetalae	Kalanchoe laxiflora	1670617	309	Kalanchoe laxiflora	Klaxiflora	Milky widow's thrill	v1.1	restricted	JGI	JGI	98.7
Asterids	Coffea arabica	13443	453	Coffea arabica	Carabica	Coffee bean	v0.5	restricted	UCD	UCD	98.3
Asterids	Daucus carota	4039	388	Daucus carota	Dcarota	Carrot	v2.0	unrestricted	WISC	WISC	92.0
Asterids	Helianthus annuus	4232	494	Helianthus annuus	Hannuus	Sunflower	r1.2	unrestricted	INRA	INRA	98.0
Asterids	Lactuca sativa	4236	467	Lactuca sativa	Lsativa	Lettuce	V8	unrestricted	UCDavis	UCDavis	96.4
